--------5.results/QE_150508_32/QE_150508_32.sqlite3---------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
2524       2113    99.64 genus                Streptococcus                           
2637       113     99.10 family               Streptococcaceae                        
401        392     95.93 species              Streptococcus pneumoniae                
8          0       30.77 no rank              Bacteroidetes/Chlorobi group            
5          5       19.23 no rank              Streptococcus pneumoniae P1031          
2          2        7.69 no rank              Acholeplasma palmae J233                
2          2        7.69 no rank              Streptococcus pneumoniae gamPNI0373     
1          1        3.85 no rank              Methylomicrobium alcaliphilum 20Z       
1          1        3.85 no rank              Myxococcus stipitatus DSM 14675         
1          1        3.85 no rank              Rhodopseudomonas palustris BisA53       
1          1        3.85 no rank              Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
1          1        3.85 no rank              Streptococcus oralis Uo5                
1          1        3.85 no rank              Streptococcus pneumoniae 670-6B         
1          1        3.85 no rank              Streptococcus pneumoniae INV104         
1          1        3.85 no rank              Streptococcus suis ST3                  
1          1        3.85 no rank              Zunongwangia profunda SM-A87            
6          5        1.44 species              Streptococcus suis                      
14         13       0.53 family               Staphylococcaceae                       
2          0        0.48 species              Acholeplasma palmae                     
1          0        0.24 species              Methylomicrobium alcaliphilum           
1          0        0.24 species              Myxococcus stipitatus                   
1          1        0.24 species              Paenibacillus sp. JDR-2                 
1          0        0.24 species              Rhodopseudomonas palustris              
1          0        0.24 species              Staphylococcus saprophyticus            
1          0        0.24 species              Streptococcus constellatus              
1          1        0.24 species              Streptococcus mutans                    
1          0        0.24 species              Streptococcus oralis                    
1          0        0.24 species              Zunongwangia profunda                   
2          0        0.08 genus                Acholeplasma                            
2          0        0.08 family               Acholeplasmataceae                      
1          1        0.04 genus                Lactobacillus                           
1          0        0.04 genus                Methylomicrobium                        
1          0        0.04 genus                Myxococcus                              
1          0        0.04 genus                Paenibacillus                           
1          0        0.04 genus                Rhodopseudomonas                        
1          0        0.04 genus                Staphylococcus                          
1          0        0.04 genus                Zunongwangia                            
1          0        0.04 family               Bradyrhizobiaceae                       
1          1        0.04 family               Enterococcaceae                         
1          0        0.04 family               Flavobacteriaceae                       
1          1        0.04 family               Lachnospiraceae                         
1          0        0.04 family               Lactobacillaceae                        
1          0        0.04 family               Methylococcaceae                        
1          0        0.04 family               Myxococcaceae                           
1          0        0.04 family               Paenibacillaceae                        
