--------5.results/QE_151124_05/QE_151124_05.sqlite3---------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
2253       2253    99.21 no rank              Moraxella catarrhalis BBH18             
2439       181     99.07 family               Moraxellaceae                           
2253       0       98.73 species              Moraxella catarrhalis                   
2253       0       98.69 genus                Moraxella                               
4          0        0.16 family               Pasteurellaceae                         
3          3        0.13 no rank              Gallibacterium anatis UMN179            
3          3        0.13 species              Faecalibacterium prausnitzii            
3          0        0.13 species              Gallibacterium anatis                   
3          3        0.13 species              Psychrobacter sp. PRwf-1                
3          0        0.13 genus                Faecalibacterium                        
3          0        0.13 genus                Gallibacterium                          
3          0        0.13 genus                Psychrobacter                           
3          0        0.12 family               Ruminococcaceae                         
2          2        0.09 species              Candidatus Pelagibacter sp. IMCC9063    
2          1        0.09 genus                Acinetobacter                           
2          0        0.09 genus                Candidatus Pelagibacter                 
2          0        0.08 family               Pelagibacteraceae                       
1          1        0.04 no rank              Acholeplasma palmae J233                
1          1        0.04 no rank              Amycolatopsis mediterranei U32          
1          0        0.04 no rank              Bacteroidetes/Chlorobi group            
1          1        0.04 no rank              Heliobacterium modesticaldum Ice1       
1          1        0.04 no rank              Oscillatoria acuminata PCC 6304         
1          1        0.04 no rank              Pararhodospirillum photometricum DSM 122
1          1        0.04 no rank              Pelobacter propionicus DSM 2379         
1          1        0.04 no rank              Pseudomonas fulva 12-X                  
1          1        0.04 no rank              Ralstonia pickettii DTP0602             
1          1        0.04 no rank              Simiduia agarivorans SA1 = DSM 21679    
1          1        0.04 no rank              Streptococcus oligofermentans AS 1.3089 
1          1        0.04 no rank              Streptomyces albus J1074                
1          1        0.04 no rank              Thermoanaerobacterium thermosaccharolyticum DSM 571
1          1        0.04 no rank              Trichodesmium erythraeum IMS101         
1          0        0.04 no rank              unclassified Flavobacteriaceae          
1          0        0.04 species              Acholeplasma palmae                     
1          1        0.04 species              Acinetobacter sp. ADP1                  
1          0        0.04 species              Amycolatopsis mediterranei              
1          1        0.04 species              Flavobacteriaceae bacterium 3519-10     
1          0        0.04 species              Heliobacterium modesticaldum            
1          1        0.04 species              Leptolyngbya sp. PCC 7376               
1          1        0.04 species              Mycoplasma putrefaciens                 
1          0        0.04 species              Oscillatoria acuminata                  
1          0        0.04 species              Pararhodospirillum photometricum        
1          1        0.04 species              Pasteurella multocida                   
1          0        0.04 species              Pelobacter propionicus                  
1          0        0.04 species              Pseudomonas fulva                       
1          0        0.04 species              Ralstonia pickettii                     
1          0        0.04 species              Simiduia agarivorans                    
1          0        0.04 species              Streptococcus oligofermentans           
1          0        0.04 species              Streptomyces albus                      
1          0        0.04 species              Thermoanaerobacterium thermosaccharolyticum
1          0        0.04 species              Trichodesmium erythraeum                
1          0        0.04 genus                Acholeplasma                            
1          0        0.04 genus                Amycolatopsis                           
1          0        0.04 genus                Heliobacterium                          
1          0        0.04 genus                Leptolyngbya                            
1          0        0.04 genus                Mycoplasma                              
1          0        0.04 genus                Oscillatoria                            
1          0        0.04 genus                Pararhodospirillum                      
1          0        0.04 genus                Pasteurella                             
1          0        0.04 genus                Pelobacter                              
1          0        0.04 genus                Pseudomonas                             
1          0        0.04 genus                Ralstonia                               
1          1        0.04 genus                Serratia                                
1          0        0.04 genus                Simiduia                                
1          0        0.04 genus                Streptococcus                           
1          0        0.04 genus                Streptomyces                            
1          0        0.04 genus                Thermoanaerobacterium                   
1          0        0.04 genus                Trichodesmium                           
1          0        0.04 family               Acholeplasmataceae                      
1          0        0.04 family               Burkholderiaceae                        
1          0        0.04 family               Cellvibrionaceae                        
1          0        0.04 family               Enterobacteriaceae                      
1          0        0.04 family               Flavobacteriaceae                       
1          0        0.04 family               Heliobacteriaceae                       
1          0        0.04 family               Mycoplasmataceae                        
1          0        0.04 family               Pelobacteraceae                         
1          0        0.04 family               Pseudomonadaceae                        
1          0        0.04 family               Pseudonocardiaceae                      
1          0        0.04 family               Rhodospirillaceae                       
1          0        0.04 family               Streptococcaceae                        
1          0        0.04 family               Streptomycetaceae                       
1          0        0.04 family               Thermoanaerobacterales Family III. Incertae Sedis
